,area,perimeter,orientation,eccentricity,convex_area,centroid_0,centroid_1,major_axis_length,minor_axis_length,label
0,3420,237.40916292848976,0.9586966968236185,0.7954901312409584,3548,56.058479532163744,208.2953216374269,85.54011224389396,51.834446094585694,image_mod37.BMP
1,7103,421.6995308303615,1.3378151904902411,0.9184814459434848,8540,61.66084752921301,396.4752921300859,162.10837427917073,64.10803804671451,image_mod37.BMP
2,2408,196.46803743153546,-1.49546384085423,0.6288652968104381,2529,70.375,713.4539036544851,63.064681915561,49.03369005803428,image_mod37.BMP
3,4877,281.82337649086287,-1.4853569696307076,0.799290872245713,5023,98.90403936846423,66.14865696124667,102.48973548235736,61.5906265968691,image_mod37.BMP
4,6308,391.5634918610404,1.1241231737579496,0.9033817014533475,7285,128.35431198478122,575.1128725428027,144.4640402506226,61.951581029589896,image_mod37.BMP
5,11870,551.0853531617383,1.1431729063563563,0.826691275431346,14341,193.32754844144904,307.16697556866046,182.69037148158841,102.79179482140118,image_mod37.BMP
6,5120,320.30865786510145,1.4512027924536035,0.8622551726360793,5586,168.015234375,147.959765625,117.35416666884558,59.43684632618897,image_mod37.BMP
7,4627,295.8944443027283,1.4103481377146134,0.8473197037934302,4999,164.25027015344716,443.20510049708236,106.98676012095049,56.81886631360667,image_mod37.BMP
8,2136,186.71067811865476,-0.659403248488137,0.6563198916962375,2240,194.17743445692884,711.4236891385768,60.86171836349559,45.91911582250399,image_mod37.BMP
9,1518,144.66904755831214,1.5676794173219155,0.6350494364322612,1532,253.5395256916996,99.65876152832675,50.19489552240476,38.774126073268086,image_mod37.BMP
10,36754,1398.6976182580577,0.7681133745852069,0.7945998878274025,56797,425.31338085650543,589.6750013603961,353.4914991820048,214.61651116047054,image_mod37.BMP
11,10650,423.29751057680824,0.8548136683996719,0.6091560529879593,11064,341.0443192488263,226.06394366197182,132.19766069426527,104.83940487283358,image_mod37.BMP
12,16345,696.097546470558,0.634085960068596,0.7121648281996376,19978,438.703028449067,113.3627408993576,193.11362463721392,135.56813815946012,image_mod37.BMP
13,16134,562.031529292576,1.3204133858681062,0.5131422614436706,17404,499.1867484814677,393.2552993677947,158.9285593406312,136.40894997235404,image_mod37.BMP
